CO(GT),NO2(GT),PT08.S2(NMHC),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO Class
2.5,104,1089,1748,1624,14.6,48.6,0.806,2
2.4,82,1010,1603,1536,14.7,49.3,0.8193,2
1.2,70,1013,1611,1535,13.9,53.6,0.8498,1
1,63,1045,1624,1530,14.6,51.5,0.8536,0
0.9,67,925,1543,1337,12.5,58.9,0.8537,0
1.4,84,968,1620,1278,11.6,63.4,0.8674,1
1.6,83,773,1452,1051,12.1,61.1,0.8603,1
2.2,98,691,1377,929,11.5,63.1,0.8533,2
2.8,114,618,1333,872,11.6,62.2,0.8473,2
2.8,119,615,1340,853,10.4,67.6,0.853,2
2,104,722,1414,959,11.6,62.7,0.853,1
1.8,102,828,1527,1093,12.4,60,0.8627,1
1.9,107,923,1614,1225,14.5,53.1,0.8728,1
3,129,1009,1696,1355,16.9,46.1,0.8789,2
2.9,128,1002,1677,1262,19.3,38.3,0.8474,2
2.5,121,880,1525,980,21.2,31.4,0.7812,2
4.6,157,879,1490,872,21.4,30.2,0.7616,2
5.9,173,906,1511,900,21.9,29,0.7525,2
3.4,146,1045,1646,1099,22.2,28.4,0.7516,2
2.1,121,1051,1668,1206,21.3,30.8,0.7696,2
2.2,119,1055,1671,1262,19.7,36.7,0.8307,2
1.8,99,1312,1993,1698,18.4,41.7,0.8732,1
1.8,93,1381,2103,1905,17.6,46.1,0.921,1
1.8,88,1140,1818,1648,16.7,49.6,0.932,1
1.1,71,940,1587,1423,16.3,51,0.9341,1
1,74,933,1617,1349,14.7,55.9,0.9314,0
1.4,80,872,1547,1250,14.8,54.7,0.9164,1
2.2,89,853,1543,1174,14,57,0.9094,2
5.5,114,855,1566,1149,13.4,61.3,0.9361,2
8.1,149,734,1487,1021,12.6,63.5,0.923,2
5.8,157,711,1468,1013,12.3,65.4,0.9351,2
4.2,155,703,1464,1010,11.9,67.4,0.9375,2
3.1,134,830,1584,1083,11.4,70.5,0.9475,2
2.9,119,966,1710,1235,11.3,70.2,0.9401,2
2.9,111,1451,2323,1680,12.4,63.9,0.917,2
2.5,104,1701,2665,2184,14.8,54.3,0.9076,2
2.3,99,1470,2262,1973,17.4,45.6,0.8993,2
2.8,110,1300,2029,1798,19.8,38.5,0.8801,2
6.1,162,1120,1783,1522,22,34.1,0.8904,2
8,187,1146,1831,1404,23.3,32.2,0.9096,2
6.5,165,1162,1829,1263,23.9,30,0.8757,2
4.2,145,1053,1707,1137,24.4,28.9,0.8736,2
3.2,125,1033,1675,1068,24.4,29.4,0.8848,2
1.4,101,1141,1824,1252,23.8,31.3,0.9137,1
2.1,103,1601,2447,1843,22.5,35.4,0.9547,2
1.2,88,1754,2679,2122,20.4,42.5,1.0086,1
0.8,61,1573,2443,1992,18.3,52.6,1.0945,0
0.7,59,1294,2058,1707,16.7,57.4,1.0786,0
0.6,52,1159,1856,1494,15.7,60.2,1.0654,0
0.9,64,852,1547,1164,15.3,61.4,1.058,0
1.3,70,1019,1731,1272,14.1,65.7,1.0494,1
3.4,97,784,1483,1040,14.8,60.6,1.0148,2
3.7,95,640,1386,867,14.8,59.2,0.9879,2
5.3,150,608,1364,826,13.6,62.1,0.9636,2
4.1,162,626,1373,840,12.3,66.2,0.945,2
3.3,154,585,1348,793,12.8,63.2,0.9283,2
4,161,681,1418,870,11.2,68.5,0.9081,2
3.8,161,770,1467,930,11,66.5,0.8705,2
2.8,128,1185,1889,1407,11.7,63.7,0.8719,2
2.9,129,1287,2055,1507,13.6,56.3,0.8743,2
2.9,133,1431,2211,1843,17.8,42.9,0.8672,2
3.4,139,1297,1973,1729,21.4,33.3,0.8417,2
3.9,137,1250,1868,1583,24.4,27.4,0.8231,2
3.2,143,1359,1998,1671,25.3,26.1,0.8264,2
5.1,177,1309,1897,1491,25.8,23.2,0.7589,2
2.6,138,1136,1675,1240,27,20.2,0.7094,2
1.7,117,1197,1759,1313,28.2,18.6,0.7014,1
1.7,107,1173,1739,1363,28,19.1,0.7098,1
1.2,90,1235,1778,1296,23.9,25.7,0.7519,1
0.9,79,1271,1875,1432,21.3,34.8,0.873,0
0.7,60,1173,1776,1432,20.4,36.7,0.8704,0
0.5,40,1426,2106,2034,19,41.3,0.9007,0
0.5,53,1101,1710,1602,17.9,45.9,0.9342,0
1.6,84,943,1560,1362,16.7,48.9,0.9226,1
4.1,108,925,1547,1314,15.5,52.9,0.9271,2
6.6,127,784,1442,1114,15.5,51.9,0.9059,2
4.3,134,714,1383,992,14.1,55.6,0.891,2
2.9,135,625,1332,884,13.1,57.9,0.8666,2
2.5,142,577,1303,808,12.7,57.9,0.8447,2
2.8,153,554,1268,667,11.8,58,0.8026,2
2.6,123,576,1289,733,11.9,57.4,0.7978,2
2,104,878,1556,1052,9.9,65.2,0.7956,1
2.9,129,1334,1999,1534,11.1,60.2,0.7958,2
2.5,114,1696,2535,1931,14.1,50,0.802,2
5,158,1331,2026,1734,17.7,40.1,0.8048,2
7.6,194,1161,1782,1595,21.1,33.4,0.8265,2
6.7,182,1067,1654,1490,24.3,28.3,0.8471,2
5.7,180,1152,1747,1508,25.6,25.6,0.8254,2
2.8,136,1108,1712,1334,25.9,25.9,0.8503,2
2.6,127,994,1520,1045,26.8,18.7,0.65,2
2.3,116,1154,1679,1221,29.3,15.8,0.6309,2
1.4,107,1060,1525,1069,28.5,14.9,0.5708,1
1,88,1478,1981,1569,25.9,16,0.5237,0
0.7,78,1737,2414,2306,23.1,26.5,0.7403,0
0.6,57,1667,2416,2359,20.5,38.2,0.9133,0
0.7,71,1485,2174,2050,19.1,42.6,0.9294,0
1.5,85,1150,1727,1727,17.2,44.1,0.8558,1
4.7,124,1171,1778,1705,16,50.9,0.9206,2
6.6,151,1083,1669,1551,14.8,53.9,0.9024,2
4.5,150,904,1502,1240,14.3,55.4,0.8975,2
2.8,152,787,1407,1115,14.8,52.1,0.8686,2
2.2,139,687,1351,969,13.9,53.9,0.8501,2
2.2,133,645,1334,925,11.6,61.9,0.8442,2
2.3,126,623,1307,828,12,58.9,0.8233,2
2.2,128,650,1333,893,10.9,62.1,0.8113,2
2.8,169,885,1551,1075,10.6,63.3,0.8067,2
2.7,149,1384,2094,1610,11.5,60,0.8117,2
3.7,156,1682,2468,2051,14.3,50.6,0.8186,2
5.1,168,1333,2010,1819,17.8,40.5,0.821,2
5.1,176,1127,1752,1568,20.8,34.4,0.8365,2
3.2,135,1068,1663,1374,23.8,28.2,0.8219,2
2.1,121,1056,1648,1268,24.2,28.7,0.8515,2
1.7,99,1087,1660,1144,25.2,24.9,0.7829,1
2,106,1129,1639,1109,27,17.8,0.6275,1
1.6,96,1205,1767,1347,27.1,23.1,0.818,1
0.9,63,1131,1689,1206,25.8,23.9,0.7832,0
0.7,32,1338,1957,1397,23,26.8,0.7446,0
0.5,28,1464,2118,1588,20.7,31.1,0.7523,0
0.7,61,1453,2051,1569,18.6,36.2,0.7676,0
1.5,99,1121,1732,1322,16,48.4,0.8768,1
4.8,157,989,1621,1194,14.5,57.8,0.9456,2
6.2,166,911,1545,1062,13.1,64.2,0.9606,2
4,149,936,1606,1040,12,69.7,0.9735,2
3.3,135,840,1501,917,11.9,71.1,0.9915,2
2.8,127,688,1380,594,12.5,69.3,1.0029,2
3,122,622,1301,430,12.5,67.5,0.9768,2
3.3,135,569,1280,397,12.3,67.7,0.9665,2
3.5,139,525,1260,370,12.5,66.8,0.962,2
4,147,607,1324,438,12.3,66.3,0.9487,2
4.6,158,845,1539,704,12.4,64.9,0.9332,2
4.1,146,1372,2144,1476,13,61.6,0.9209,2
4.5,144,1582,2456,1716,13.6,58.8,0.912,2
3.9,138,1275,1980,1398,13.9,57.1,0.9032,2
4,143,1191,1879,1268,14.5,54.4,0.8917,2
2.2,116,1117,1751,1188,15.5,50.1,0.8744,2
2.1,109,1157,1801,1171,16.1,47.6,0.8655,2
1.7,92,1202,1875,1250,16.3,47.1,0.864,1
1.6,83,1268,1957,1344,16.4,47.5,0.8791,1
1.3,81,1280,1955,1378,16.1,50.2,0.9094,1
1.3,55,1320,2005,1435,16,50.7,0.9142,1
0.8,53,1301,1952,1372,15.8,50.3,0.8989,0
0.8,67,1344,1997,1471,15.5,50.6,0.884,0
1.1,91,1292,1942,1439,15.4,51.4,0.8956,1
2.1,113,1202,1854,1429,15.2,53.1,0.9117,2
2.4,102,945,1604,1081,14.7,57.6,0.9573,2
2.6,107,912,1547,993,14.2,58.3,0.938,2
2.8,113,802,1447,837,13.8,57.9,0.9085,2
2.6,108,773,1429,761,13.9,55.9,0.8842,2
2.6,105,718,1382,650,13.9,55.6,0.8765,2
2.1,93,677,1359,591,13.8,55.1,0.8666,2
1.7,87,646,1332,505,13.8,54.6,0.8574,1
1.6,76,661,1351,518,13.6,55.1,0.856,1
2.1,94,622,1342,571,13.6,59,0.9129,2
2.3,110,728,1461,842,13.5,58.4,0.896,2
3.5,136,935,1623,1145,13.8,58,0.9083,2
3.9,139,998,1689,1218,14.6,53.1,0.8765,2
3.3,125,1068,1764,1341,15,52.3,0.8881,2
2.3,111,1061,1768,1406,15.4,52.1,0.9046,2
2.1,97,1039,1757,1422,16.3,50,0.9158,2
2.8,107,1040,1735,1373,17.1,47.9,0.9281,2
2.1,90,953,1636,1153,19,42.9,0.937,2
1.6,84,884,1573,927,19.5,42.3,0.9476,1
1.6,87,844,1539,766,19.5,42.3,0.9493,1
1.1,66,967,1649,941,19.1,43.8,0.9556,1
0.7,36,1063,1774,1146,18.5,46.3,0.9744,0
0.8,62,1199,1919,1417,17.4,51.6,1.0159,0
1.2,91,1191,1885,1442,17.1,51.3,0.9914,1
1.4,89,1108,1820,1323,16.4,53.8,0.9964,1
1.7,93,973,1712,1125,16.2,55.4,1.0132,1
1.8,81,937,1672,1036,15.9,57.7,1.0356,1
1.8,82,999,1714,1202,15.7,58.6,1.0396,1
1.9,80,872,1577,1054,15.1,60.9,1.0398,1
1.3,48,823,1526,903,15.6,56.6,0.9951,1
1.6,61,836,1554,885,15.2,57.9,0.9941,1
1.9,89,802,1539,818,15.4,57.8,1.0021,1
2.3,105,711,1461,700,14.9,60.6,1.0196,2
3.8,116,594,1390,580,14.5,63,1.0316,2
3.5,119,687,1492,815,14.2,66.2,1.063,2
4.3,144,734,1528,1035,14.5,65.3,1.0704,2
2.8,123,782,1560,1067,15.3,62.1,1.073,2
1.9,105,862,1633,1114,16.3,59,1.0868,1
1.9,93,870,1646,1000,18.9,49.6,1.07,1
1.7,86,883,1617,906,19.4,46.1,1.0249,1
1.5,76,848,1568,822,20.8,41.6,1.0091,1
0.6,33,742,1507,610,21.4,40.3,1.0126,0
0.4,27,916,1669,657,21.2,39.3,0.9791,0
0.3,23,853,1506,647,20.3,38,0.8942,0
0.6,46,938,1607,762,19.4,41.3,0.9206,0
1.2,76,1151,1874,1122,18.5,43.8,0.9252,1
3.6,116,1071,1744,1130,17.8,48.1,0.9689,2
3.7,115,1153,1840,1637,17.9,46.9,0.952,2
1.8,83,974,1673,1272,17.4,49.1,0.9688,1
1.6,87,898,1594,1098,17,51.7,0.9914,1
1.9,90,896,1624,1066,16.4,55.1,1.0198,1
2,87,815,1582,909,16.1,60,1.0919,1
2.2,99,767,1547,818,15.8,60.5,1.0805,2
2.1,99,563,1355,472,16.3,57,1.0491,2
2.3,101,468,1274,394,16.9,53.9,1.0309,2
2.6,103,481,1304,396,16.1,55.9,1.0153,2
3.8,129,472,1278,378,16.5,53.9,1.0049,2
4.4,143,586,1373,432,16.4,54,0.9979,2
4.5,146,768,1538,699,15.7,57.6,1.0195,2
3.3,124,1230,1996,1252,15.8,53.7,0.9571,2
2,113,1252,1962,1237,17.4,42.1,0.8281,1
1.1,80,854,1484,772,17.9,38.4,0.7793,1
0.9,72,868,1509,766,18.5,36.7,0.7764,0
0.8,64,964,1577,829,21,29.6,0.7263,0
0.7,70,994,1599,783,21.3,28.1,0.7067,0
0.5,31,1021,1607,822,21.3,26.1,0.6539,0
0.3,22,1003,1574,813,21.3,26.8,0.6681,0
0.5,47,1034,1544,813,21.3,24.2,0.606,0
1.1,88,1062,1606,850,20.2,28.5,0.6682,1
3,130,1249,1932,1276,17,43.1,0.8264,2
3.8,132,1325,1993,1401,15.6,47.4,0.8347,2
3.4,132,1325,1965,1356,15.3,47.4,0.8178,2
3,131,1131,1758,1243,14.5,49.7,0.8177,2
2.7,129,916,1561,1083,13.9,52,0.8231,2
3.5,132,729,1370,795,14.5,49.4,0.8106,2
2.8,110,700,1359,735,13.8,51.4,0.8071,2
1.9,99,636,1309,684,14,51.3,0.8163,1
2,100,621,1330,714,13,56.8,0.8444,1
3,122,522,1285,456,11,70,0.9215,2
1.9,97,478,1261,401,10.1,76.8,0.9483,1
2.7,112,459,1212,361,8.8,80.5,0.9147,2
3.3,128,567,1287,418,9.6,75.4,0.9004,2
1.7,101,745,1429,616,9.8,75,0.9093,1
1.3,96,1124,1829,1089,10,74.2,0.9117,1
1.3,86,1325,2095,1329,11.2,69.7,0.9232,1
1.2,85,1185,1857,1311,12,62.9,0.8803,1
1.1,79,1166,1794,1236,12.8,55.8,0.821,1
0.9,61,1097,1746,1147,13.1,54.8,0.8234,0
0.6,66,1207,1847,1301,13.8,53.4,0.8351,0
0.6,54,1064,1639,1097,16,42.4,0.7674,0
0.8,57,980,1589,900,14.1,49.8,0.7971,0
1.2,75,927,1570,781,12,61.1,0.8537,1
3.1,97,1111,1719,1013,13.6,54.6,0.8465,2
4.4,110,953,1514,790,13.7,49.5,0.7695,2
3.4,113,1084,1688,1059,11.7,57.1,0.7822,2
1.7,88,1126,1722,1205,11.5,58.2,0.7867,1
1.5,85,884,1487,975,12.6,54.2,0.7881,1
1.7,96,776,1375,896,12,54.9,0.7664,1
2.2,106,782,1425,911,11,61.4,0.8057,2
2.7,91,756,1411,902,11.1,62.2,0.8199,2
2.8,126,744,1405,832,10.8,62.5,0.8082,2
2.7,130,634,1326,715,11.3,60,0.8025,2
4.5,111,551,1272,683,10.6,61.6,0.7856,2
3.5,134,559,1287,721,10.2,62.7,0.7813,2
2.6,136,522,1255,648,10.9,58.6,0.7628,2
1.7,125,561,1255,612,10.8,57.2,0.7382,1
1.3,108,751,1403,800,10.4,59.2,0.7455,1
1.3,87,1109,1706,1173,11,57.3,0.7501,1
1,89,1395,2080,1519,11.2,56.9,0.7565,0
0.7,58,1124,1770,1287,12.1,54.9,0.7734,0
0.7,54,898,1505,966,15.1,44.3,0.7535,0
0.5,28,842,1440,828,15.6,40.6,0.7146,0
0.5,20,927,1477,825,16.9,34.6,0.6597,0
0.6,51,1009,1566,872,16.6,35.6,0.6697,0
1.1,82,842,1494,680,11.3,63.9,0.8554,1
2.7,112,1028,1730,1002,9.6,81.1,0.972,2
3.5,119,1096,1783,1159,11.7,69.1,0.9497,2
2.3,99,1050,1722,979,10.7,68.5,0.8794,2
1.6,98,1302,2008,1311,10.7,67.3,0.8643,1
1.3,88,1130,1744,1071,10.8,65.7,0.8486,1
2,96,955,1571,899,10.3,66.3,0.8336,1
1.9,81,809,1435,766,10.1,66.9,0.8248,1
1.9,92,739,1354,589,10.4,61.1,0.7717,1
2.2,105,737,1341,631,10.3,59.9,0.7516,2
2,88,621,1249,479,11,58.4,0.7686,1
2.9,103,568,1253,479,9.1,68.1,0.789,2
5.2,141,538,1224,417,9.5,68.2,0.8091,2
4.6,133,490,1212,378,9.3,72.3,0.8496,2
2.5,119,457,1158,344,9.9,66.8,0.8152,2
1.5,106,540,1268,413,7.6,83.2,0.8695,1
1.2,92,697,1383,605,8.1,79,0.8544,1
1.7,97,1035,1721,991,8.7,74.6,0.8429,1
1.4,91,1235,1937,1175,8.6,75.1,0.8415,1
1.2,83,933,1552,923,9.7,69.7,0.8389,1
0.6,59,849,1468,829,11,64.4,0.8447,0
0.7,73,809,1442,733,13.6,53,0.8209,0
0.8,78,935,1570,819,14.2,48.4,0.778,0
0.9,90,907,1492,723,14.2,46.3,0.7438,0
1.6,110,924,1501,786,16,41.3,0.7462,1
3.4,114,982,1545,850,17.7,35.4,0.7094,2
3.8,119,957,1527,820,17.1,37.4,0.7225,2
3.1,121,1137,1748,991,14.9,40.5,0.6835,2
2.7,97,1418,2060,1454,13.4,47.8,0.7293,2
2,99,1341,1982,1488,12.6,52.5,0.7642,1
2.3,85,989,1539,1205,12.2,53.2,0.7555,2
1.9,75,798,1376,909,10.6,56.1,0.714,1
1.3,87,736,1324,769,9.9,59.5,0.7276,1
1.9,102,787,1373,835,9.6,61.1,0.7323,1
2.3,105,753,1357,793,9.7,61.6,0.7425,2
2.4,98,690,1313,733,9.4,62.6,0.7398,2
2.7,93,561,1219,502,8.2,68.5,0.7455,2
2.6,91,602,1263,562,8,69.4,0.7459,2
1.5,85,654,1312,832,7.7,72.4,0.7655,1
1.2,74,713,1363,924,8,71.8,0.7711,1
1.1,87,842,1438,974,8.5,66.3,0.7375,1
1.5,79,1201,1828,1307,9.8,59.6,0.7214,1
1,78,1278,1928,1481,11.2,57,0.7544,0
1.2,63,1142,1747,1405,14.8,44.1,0.7407,1
1.1,48,1098,1664,1195,16.8,35.3,0.6729,1
0.8,59,1014,1503,868,19.2,27.1,0.5976,0
0.9,65,1068,1535,874,19.1,26.2,0.5741,0
1.1,71,916,1391,738,16.3,30.8,0.5683,1
1.5,84,776,1279,550,14.2,36.8,0.5922,1
1.8,93,933,1454,777,13.4,41,0.6292,1
2.1,99,1023,1588,966,14.2,43.3,0.6982,2
2.1,93,1037,1580,990,12.1,45.6,0.6403,2
1.9,96,1063,1540,944,10.4,48,0.6046,1
2.1,114,1000,1490,962,10,51.1,0.628,2
2.5,101,811,1308,778,9.8,50.8,0.6172,2
1.9,108,743,1252,690,9.7,50.4,0.6063,1
2.2,117,715,1258,644,9.9,50.2,0.6103,2
2.3,125,776,1307,753,9.4,53.4,0.63,2
2.7,133,664,1232,646,8.6,57.8,0.6488,2
3,119,736,1312,838,8.1,62.1,0.6746,2
2.8,107,699,1292,851,7.9,63.5,0.6777,2
2.2,96,698,1296,801,7.4,64.8,0.6683,2
1.6,105,578,1212,665,8.2,58.9,0.6444,1
2.1,102,615,1250,717,6.3,66.6,0.641,2
2.3,97,669,1266,795,7.2,62.9,0.6396,2
2.3,79,842,1418,936,7.2,63.9,0.65,2
1.7,69,919,1530,1076,11.1,50.5,0.6654,1
2.2,52,966,1520,1016,15.5,36.1,0.6313,2
1.3,62,955,1451,834,17.8,29.2,0.592,1
0.8,69,940,1449,756,17.6,30.1,0.6013,0
1.1,75,979,1467,766,19.1,26.8,0.5861,1
1.4,83,1072,1596,905,17.7,28.6,0.5735,1
1.3,94,883,1357,765,17.8,28.4,0.5737,1
1.9,96,1042,1538,830,18.7,26,0.5555,1
2.3,86,1022,1508,853,17.1,31.3,0.6038,2
2.3,72,1062,1586,981,15.8,36.1,0.644,2
1.8,53,1079,1621,1286,14.7,40.1,0.6657,1
1.4,65,1057,1633,1244,13.6,44.9,0.6991,1
1,70,930,1475,1056,12.5,48.1,0.6946,0
1.4,75,848,1421,1003,11.8,50.8,0.7042,1
1.3,86,924,1483,1245,10.9,56.1,0.7326,1
1.3,94,937,1464,1200,10.9,55.9,0.7277,1
1.4,103,912,1451,1188,10.3,58.1,0.7278,1
1.9,81,827,1395,1070,9.3,62.2,0.7294,1
1.8,80,911,1501,1075,8.2,66.7,0.7276,1
1.1,77,769,1396,895,8.3,64.9,0.7124,1
1.1,58,626,1284,755,9.6,58.5,0.7,1
1.1,31,688,1342,806,7.7,66.4,0.699,1
0.9,38,691,1321,836,7.4,68,0.7043,0
0.6,59,747,1382,897,9.7,58.6,0.7035,0
0.5,70,880,1486,1073,12.5,50.1,0.7242,0
0.7,75,938,1501,1088,16.8,36.9,0.7018,0
0.6,103,958,1514,1036,19.2,31.3,0.6887,0
0.7,134,887,1438,768,21.3,26.4,0.6607,0
0.9,98,796,1287,587,21.2,23.1,0.5768,0
2.9,97,700,1189,452,18.6,25,0.5319,2
4.1,98,754,1260,470,18,27.3,0.5594,2
1.5,78,727,1244,502,18.2,28.3,0.5848,1
1.5,83,714,1238,516,17,31.4,0.6048,1
1.5,92,746,1301,555,15.6,35,0.617,1
1.4,81,823,1357,671,14.1,40.2,0.6438,1
1.6,90,789,1329,788,13.4,43.2,0.6623,1
1.5,95,669,1246,538,12.3,46.8,0.6686,1
1.4,114,666,1224,544,11.9,46.5,0.6449,1
1.5,106,648,1204,500,11.5,46.6,0.6319,1
1.9,99,598,1156,417,10.6,48,0.6135,1
2.5,90,524,1071,341,10.7,45.8,0.5895,2
2.1,82,509,1076,352,10.4,46.6,0.5901,2
1.6,74,524,1095,397,10.1,47.8,0.5913,1
1.2,76,516,1153,502,11.3,46.9,0.628,1
1.1,66,559,1180,648,10.1,51.2,0.6341,1
1,73,643,1232,760,9.9,50.7,0.6167,0
1,69,1125,1687,1183,8.1,56.8,0.615,0
0.7,71,1289,1806,1431,10.9,44.1,0.5748,0
0.7,98,786,1258,705,11.8,37.6,0.5184,0
0.8,115,793,1254,637,13.9,33.2,0.5222,0
0.7,130,803,1293,658,15.6,30.1,0.5285,0
1.1,150,786,1272,546,16.5,29,0.5406,1
2.6,159,833,1332,561,17.5,27.9,0.5517,2
4,146,790,1268,532,17.9,26.8,0.5446,2
4.2,138,776,1247,535,18.2,26.1,0.5387,2
4.7,128,801,1289,525,18,27.1,0.5522,2
3.9,97,896,1358,603,17,28.9,0.5558,2
3.7,91,985,1477,802,16.1,31.3,0.568,2
3.4,81,907,1404,796,14.5,35.4,0.5839,2
2.2,99,797,1302,689,13.2,37.9,0.5733,2
1.9,101,700,1178,553,13.1,34.4,0.517,1
1.6,106,710,1137,509,13.5,28.5,0.4405,1
2.1,102,643,1089,455,12.4,31.9,0.4583,2
2.2,84,630,1050,425,13.1,26.8,0.4023,2
2.7,81,569,1055,436,11.6,33.6,0.4595,2
2.4,91,563,1130,618,10.5,42.9,0.5442,2
1.3,82,540,1104,747,11.7,38.7,0.5298,1
1.2,64,529,1101,693,12.2,37.2,0.5277,1
1.5,70,605,1117,691,12.9,33.9,0.5037,1
1.3,26,779,1266,1013,11.3,40.3,0.5376,1
1,58,1096,1587,1311,11.9,38.4,0.5341,0
0.9,93,1399,1947,1675,13.3,35.6,0.5416,0
0.5,110,1337,1852,1689,16.3,28.8,0.5305,0
0.5,115,1324,1872,1688,17.9,28.2,0.5741,0
0.6,125,1251,1754,1548,18.3,26.6,0.5529,0
1,118,1267,1763,1490,20.8,22.5,0.5463,0
3.1,109,1213,1711,1354,22.4,20,0.5352,2
4.1,123,992,1448,1014,20.9,21.7,0.5295,2
2.2,114,897,1372,831,19.1,26.5,0.579,2
1.7,114,820,1325,699,18.1,30.6,0.6295,1
1.9,119,968,1527,926,17.3,34.7,0.6788,1
2.9,111,962,1532,928,15.8,40.4,0.7228,2
2.2,103,1047,1638,1038,15.9,42,0.7541,2
2.6,103,928,1534,1035,15.9,43.5,0.779,2
3.1,107,746,1360,789,15,46.1,0.7833,2
2.3,105,701,1323,692,15.1,44.6,0.7574,2
2.4,91,747,1360,764,14.9,43.5,0.7302,2
2.8,79,702,1287,639,14.8,41,0.685,2
2.7,79,631,1240,541,14.8,40.8,0.6814,2
2.3,86,639,1256,678,14.8,40.8,0.6834,2
1.5,70,496,1066,381,14.2,36.1,0.5823,1
1.4,55,477,1064,343,14.5,36.1,0.5928,1
